comparison,b,c,n_discordant,chi2,p_exact,p_chi2,p_raw,p_holm,method,acc_diff,diff_ci_low,diff_ci_high,verdict
"One rule: ""mentions Reuters -> real"" vs SVM (Linear, calibrated)",42,36,78,0.32051282051282054,0.5715867180030723,0.5712996214994486,0.5712996214994486,0.5712996214994486,chi-square (cc),0.0007672634271099765,-0.0014066496163682718,0.0028132992327365436,no difference detected
"One rule: ""mentions Reuters -> real"" vs Logistic Regression",93,36,129,24.310077519379846,5.432420732076601e-07,8.200888859739207e-07,8.200888859739207e-07,1.6401777719478414e-06,chi-square (cc),0.0072890025575447215,0.004280690537084475,0.009974424552429643,Reuters rule better
"One rule: ""mentions Reuters -> real"" vs Naive Bayes",436,31,467,349.49892933618844,1.391629294161673e-92,5.448225330221347e-78,5.448225330221347e-78,2.7241126651106733e-77,chi-square (cc),0.05179028132992325,0.04731457800511507,0.05677749360613804,Reuters rule better
"SVM (Linear, calibrated) vs Logistic Regression",58,7,65,38.46153846153846,4.2705216207923607e-11,5.584344005945312e-10,5.584344005945312e-10,1.6753032017835935e-09,chi-square (cc),0.006521739130434745,0.004536445012787785,0.008634910485933494,SVM better
"SVM (Linear, calibrated) vs Naive Bayes",410,11,421,376.2565320665083,6.136010858600306e-106,8.127996888171021e-84,8.127996888171021e-84,4.876798132902613e-83,chi-square (cc),0.05102301790281327,0.04686381074168795,0.05626598465473143,SVM better
Logistic Regression vs Naive Bayes,368,20,388,310.33247422680415,5.00844641476065e-84,1.8484067380517505e-69,1.8484067380517505e-69,7.393626952207002e-69,chi-square (cc),0.04450127877237853,0.040597826086956515,0.04968350383631713,LR better
