system,accuracy,acc_ci_low,acc_ci_high,f1,f1_ci_low,f1_ci_high,errors
"One rule: ""mentions Reuters -> real""",0.9939897698209719,0.9921323529411765,0.995591432225064,0.994479032068601,0.9928069918447313,0.9959024871212225,47
"SVM (Linear, calibrated)",0.9932225063938619,0.991304347826087,0.9947570332480818,0.9937492628847742,0.9920195615948648,0.9952110594396772,53
Logistic Regression,0.9867007672634271,0.9838874680306905,0.9890696930946291,0.9877905611645926,0.9850816738527003,0.98997558456142,104
Naive Bayes,0.9421994884910486,0.9364386189258312,0.9466751918158568,0.9467106814430559,0.9416179961936895,0.9511313723831095,452
