subject,n,nb_err,nb_%,svm_err,svm_%,lr_err,lr_%
politicsNews,2171,206,9.488714877936435,21,0.9672961768770152,27,1.243666513127591
worldnews,2068,18,0.8704061895551257,3,0.14506769825918764,5,0.24177949709864605
News,1769,42,2.3742227247032224,2,0.11305822498586772,3,0.1695873374788016
politics,1383,130,9.399855386840203,29,2.0968908170643528,54,3.9045553145336225
US_News,166,22,13.253012048192772,1,0.6024096385542169,2,1.2048192771084338
left-news,151,6,3.9735099337748347,1,0.6622516556291391,3,1.9867549668874174
Government News,112,28,25.0,4,3.571428571428571,10,8.928571428571429
