matched features,n,fake_%,nb_err,nb_%,svm_err,svm_%,lr_err,lr_%
<10,82,100.0,2,2.4390243902439024,0,0.0,0,0.0
10-24,214,82.71028037383178,2,0.9345794392523363,0,0.0,1,0.46728971962616817
25-49,826,20.09685230024213,15,1.8159806295399514,1,0.12106537530266344,1,0.12106537530266344
50-99,1645,46.93009118541033,90,5.47112462006079,15,0.911854103343465,27,1.6413373860182372
100-199,3960,52.601010101010104,220,5.555555555555555,34,0.8585858585858586,60,1.5151515151515151
200+,1093,27.538883806038427,123,11.253430924062215,11,1.0064043915827996,15,1.3723696248856359
