length (words),n,fake_%,nb_err,nb_%,svm_err,svm_%,lr_err,lr_%
<50,232,88.79310344827587,4,1.7241379310344827,0,0.0,1,0.43103448275862066
50-199,1458,23.045267489711936,41,2.8120713305898493,5,0.3429355281207133,7,0.48010973936899864
200-499,3855,52.21789883268483,204,5.291828793774319,33,0.8560311284046693,57,1.4785992217898831
500-999,1988,44.969818913480886,172,8.651911468812877,16,0.8048289738430584,31,1.5593561368209254
1000+,287,45.99303135888502,31,10.801393728222997,7,2.4390243902439024,8,2.7874564459930316
